Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35017,LA BAUSSAINE,35190,"",LA BAUSSAINE,"48.3125973519,-1.89690518191",35
35022,BECHEREL,35190,"",BECHEREL,"48.2965087434,-1.9428236566",35
35050,CARDROC,35190,"",CARDROC,"48.2846714834,-1.89382613494",35
35345,TREVERIEN,35190,"",TREVERIEN,"48.3708768368,-1.92035072104",35
35056,LA CHAPELLE AUX FILTZMEENS,35190,"",LA CHAPELLE AUX FILTZMEENS,"48.3817396388,-1.8184050063",35
35265,ST DOMINEUC,35190,"",ST DOMINEUC,"48.3604701508,-1.86929825665",35
35307,ST PERN,35190,"",ST PERN,"48.2809544263,-1.98293675576",35
35337,TINTENIAC,35190,"",TINTENIAC,"48.3231993668,-1.83043308458",35
35156,LONGAULNAY,35190,"",LONGAULNAY,"48.3091791163,-1.94199814381",35
35180,MINIAC SOUS BECHEREL,35190,"",MINIAC SOUS BECHEREL,"48.2810885875,-1.92727123797",35
35233,QUEBRIAC,35190,"",QUEBRIAC,"48.3560951211,-1.81258742693",35
35318,ST THUAL,35190,"",ST THUAL,"48.3355023423,-1.93174889174",35
35346,TRIMER,35190,"",TRIMER,"48.3440055823,-1.89692594025",35
35238,RENNES,35200,"",RENNES,"48.1119791219,-1.68186449144",35
35086,COMBOURTILLE,35210,"",COMBOURTILLE,"48.2659507718,-1.26462449893",35
35163,LUITRE DOMPIERRE,35210,DOMPIERRE DU CHEMIN,LUITRE DOMPIERRE,"48.293087363,-1.12955612436",35
35232,PRINCE,35210,"",PRINCE,"48.2370987257,-1.10577928863",35
35072,CHATILLON EN VENDELAIS,35210,"",CHATILLON EN VENDELAIS,"48.2287242632,-1.16547272515",35
35185,MONTAUTOUR,35210,"",MONTAUTOUR,"48.2045052863,-1.12123859813",35
35192,MONTREUIL DES LANDES,35210,"",MONTREUIL DES LANDES,"48.2507630076,-1.22879248978",35
35214,PARCE,35210,"",PARCE,"48.2710203075,-1.19491182796",35
35260,ST CHRISTOPHE DES BOIS,35210,"",ST CHRISTOPHE DES BOIS,"48.2263856432,-1.23572120052",35
35068,CHATEAUBOURG,35220,ST MELAINE,CHATEAUBOURG,"48.120001247,-1.40402096437",35
35283,ST JEAN SUR VILAINE,35220,"",ST JEAN SUR VILAINE,"48.1210316467,-1.34032525907",35
35068,CHATEAUBOURG,35220,"",CHATEAUBOURG,"48.120001247,-1.40402096437",35
35068,CHATEAUBOURG,35220,BROONS SUR VILAINE,CHATEAUBOURG,"48.120001247,-1.40402096437",35
35166,MARPIRE,35220,"",MARPIRE,"48.1468901572,-1.35260722059",35
35264,ST DIDIER,35220,"",ST DIDIER,"48.0932158644,-1.35806845203",35
35206,NOYAL CHATILLON SUR SEICHE,35230,CHATILLON SUR SEICHE,NOYAL CHATILLON SUR SEICHE,"48.0524815273,-1.6633106381",35
35266,ST ERBLON,35230,"",ST ERBLON,"48.019118287,-1.64173794803",35
35206,NOYAL CHATILLON SUR SEICHE,35230,"",NOYAL CHATILLON SUR SEICHE,"48.0524815273,-1.6633106381",35
35208,ORGERES,35230,"",ORGERES,"47.9853322097,-1.66640026267",35
35250,ST ARMEL,35230,"",ST ARMEL,"48.0133072658,-1.58086136058",35
35032,BOURGBARRE,35230,"",BOURGBARRE,"47.988587599,-1.62222742311",35
35334,THORIGNE FOUILLARD,35235,"",THORIGNE FOUILLARD,"48.1566082899,-1.58409867633",35
35239,RETIERS,35240,"",RETIERS,"47.9060282888,-1.34373706233",35
35165,MARCILLE ROBERT,35240,"",MARCILLE ROBERT,"47.9584716788,-1.35356162459",35
35333,LE THEIL DE BRETAGNE,35240,"",LE THEIL DE BRETAGNE,"47.917964054,-1.42174921295",35
35007,AUBIGNE,35250,"",AUBIGNE,"48.2991937889,-1.63035557088",35
35197,MOUAZE,35250,"",MOUAZE,"48.2185090762,-1.60820353926",35
